,auditNature,companyLogo,videoUrl,financingStageName,companyName,companyNumber,menVipUrl,menVipLevel,industryNameLevel,companySize,companyDescription,companyUrl,bestEmployerType,bestEmployerLabel,industryLevel,url
10,,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,,未融资,昆山新人人才服务有限公司,CZL1208774400,,0,"人力资源服务,邮政/快递",20-99人,本公司成立于2013年8月.主营外卖递送服务，我们致力于为求职者找寻真实靠谱的工作，再次我们向求职者郑重承诺，本司面向全社会的求职者，我们不收取以任何理由的中介费用，求职者可放心大胆的向我司工作人员咨询。,http://company.zhaopin.com/CZL1208774400.htm,0,[],"人力资源服务,邮政/快递",http://company.zhaopin.com/CZL1208774400.htm
11,,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,,不需要融资,天津易速达网络科技有限公司,CZL1351124690,,0,"居民服务,居民服务",10000人以上,天津易速达网络科技有限公司成立于2021-07-02，法定代表人为赵明昱，注册资本为10万元人民币，统一社会信用代码为91120112MA07D19Q7N，企业地址位于天津市津南区辛庄镇新濠广场2号楼1907，所属行业为科技推广和应用服务业，经营范围包含：一般项目：网络技术服务；会议及展览服务；软件开发；软件销售；信息技术咨询服务；普通货物仓储服务（不含危险化学品等需许可审批的项目）；汽车租赁；外卖递送服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：城市配送运输服务（不含危险货物）。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）。天津易速达网络科技有限公司目前的经营状态为存续（在营、开业、在册）。,http://company.zhaopin.com/CZL1351124690.htm,0,[],"居民服务,居民服务",http://company.zhaopin.com/CZL1351124690.htm
12,,https://storage-public.zhaopin.cn/CompanyLogo/20160406/1DAFBAB90D8A47778736509A1407AA1C.jpg,,未融资,北京志翔领驭冷链科技有限公司,CZ382960080,,0,"仪器仪表制造,检测/认证",100-299人,公司简介：   志翔领驭是一家致力于专业温湿度监测产品的系统研发、生产、销售、服务于一体的高科技民营企业，公司现有员工300多人，领域涉及疾控、药品、医疗器械、食品等多行业。 公司主要经营冷链温湿度全程监测平台、储运温湿度监测系统及系列产品、药品专用陈列柜、药品温度实时监测保温箱、冷链验证服务等均具有自主知识产权。 总部位于北京丰台区总部基地，在山西太原拥有1800平米研发生产基地，并在全国20多个省市建立分支机构，服务及业务范围覆盖全国。我公司至今已为全国1.5万家以上的客户提供产品及服务。 合作经典案例 医    药：九州通、华润医药、国药物流、扬子江药业等 药    店：同仁堂、老百姓等 医    院：解放军302医院、长沙市中心医院等 制冷设备：甘肃远大精工制冷设备公司、北京嘉德实创制冷科技公司、石家庄众城制冷公司等 其    他：北京宅急送、松川专用汽车、速必达物流等 ,http://company.zhaopin.com/CC382960083.htm,0,[],"仪器仪表制造,检测/认证",http://company.zhaopin.com/CC382960083.htm
13,,https://rd5-public.zhaopin.cn/imgs/company/e6d02ce9525fc00a731ba16707f08621.jpg,,未融资,北京链家置地房地产经纪有限公司,CZ252944430,,0,"房地产中介,电子商务",10000人以上,北京链家成立于2001年，是中国领先的房地产服务企业，业务覆盖二手房、新房、租房等全方位房产交易和居住服务，目前北京链家有1000余家门店。20年来，北京链家致力于提供安全有品质的服务，在行业率先承诺“不吃差价”、首倡“真房源”、推出“交易不成 佣金全退”“电话营销 扰一赔百”等18项安心服务承诺，与此同时北京链家也在全面推行店面服务升级和经纪人职业素养提升，坚持对客户好，对经纪人好，对社区好，持续推动行业进步，不断提供更有品质的服务。,http://company.zhaopin.com/CZ252944430.htm,0,"[{'state': 0, 'value': '同事很nice'}, {'state': 0, 'value': '工作环境好'}, {'state': 0, 'value': '氛围活跃'}, {'state': 0, 'value': '团队执行强'}, {'state': 0, 'value': '人际关系好'}]","房地产中介,电子商务",http://company.zhaopin.com/CZ252944430.htm
14,,https://storage-public.zhaopin.cn/org/logo/1631169151119635222/sf%20logo-01.jpg,,已上市,顺丰速运,CZ131486150,,0,货运/物流仓储,10000人以上,"顺丰是国内最大的综合物流服务商、全球第四大快递公司，致力于成为独立第三方行业解决方案的数据科技服务公司，以领先的技术赋能客户，为客户提供涵盖多行业、多场景、智能化、一体化的智慧供应链解决方案。同时,顺丰还是一家具有“天网+地网+信息网”网络规模优势的智能物流运营商，拥有对全网络强有力管控的经营模式。",http://company.zhaopin.com/CZ131486150.htm,1,"[{'state': 0, 'value': '工作环境好'}, {'state': 0, 'value': '同事很nice'}, {'state': 0, 'value': '团队执行强'}, {'state': 0, 'value': '氛围活跃'}, {'state': 0, 'value': '人际关系好'}, {'state': 0, 'value': '管理人性化'}, {'state': 0, 'value': '实力大公司'}, {'state': 0, 'value': '交通便利'}]",货运/物流仓储,http://company.zhaopin.com/CZ131486150.htm
15,,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,,,中环联合(北京)认证中心有限公司,CZ769092990,,0,"环保,矿产/采掘,学术/科研",100-299人,中环联合认证中心（以下简称“CEC”）成立于2003年，是由环境保护部批准设立的国有企业，由中国国家认证认可监督管理委员会批准的第三方专业认证机构，是国家认定的高新技术企业。 ,http://company.zhaopin.com/CZ769092990.htm,0,[],"环保,矿产/采掘,学术/科研",http://company.zhaopin.com/CZ769092990.htm
16,,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,,不需要融资,天津易速达网络科技有限公司,CZL1351124690,,0,"居民服务,居民服务",10000人以上,天津易速达网络科技有限公司成立于2021-07-02，法定代表人为赵明昱，注册资本为10万元人民币，统一社会信用代码为91120112MA07D19Q7N，企业地址位于天津市津南区辛庄镇新濠广场2号楼1907，所属行业为科技推广和应用服务业，经营范围包含：一般项目：网络技术服务；会议及展览服务；软件开发；软件销售；信息技术咨询服务；普通货物仓储服务（不含危险化学品等需许可审批的项目）；汽车租赁；外卖递送服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：城市配送运输服务（不含危险货物）。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）。天津易速达网络科技有限公司目前的经营状态为存续（在营、开业、在册）。,http://company.zhaopin.com/CZL1351124690.htm,0,[],"居民服务,居民服务",http://company.zhaopin.com/CZL1351124690.htm
17,,https://storage-public.zhaopin.cn/org/logo/1657787986453922274/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20220714163927.jpg,,不需要融资,宁波先风配送服务有限公司,CZL1374644460,,0,"在线生活服务（O2O）,在线生活服务（O2O）",1000-9999人,宁波先风配送服务有限公司是宁波万古配送服务有限公司旗下子公司，宁波万古配送服务有限公司是美团十大加盟商之一，总部位于上海，注册资金1000万元， 分别在北京、上海、广州、深圳、杭州、合肥、绍兴、宁波等城市设立了运营部，主营项目 为美团配送业务。全国拥有约80个美团配送站点，约6000名配送骑手，日均单量17万单， 管理团队240余人；业务量增长迅猛，也在不断地将美团配送业务扩张到其他中小城市，管 理团队不断壮大 ,http://company.zhaopin.com/CZL1374644460.htm,0,[],"在线生活服务（O2O）,在线生活服务（O2O）",http://company.zhaopin.com/CZL1374644460.htm
18,,https://rd5-public.zhaopin.cn/imgs/company/e6d02ce9525fc00a731ba16707f08621.jpg,,未融资,北京链家置地房地产经纪有限公司,CZ252944430,,0,"房地产中介,电子商务",10000人以上,北京链家成立于2001年，是中国领先的房地产服务企业，业务覆盖二手房、新房、租房等全方位房产交易和居住服务，目前北京链家有1000余家门店。20年来，北京链家致力于提供安全有品质的服务，在行业率先承诺“不吃差价”、首倡“真房源”、推出“交易不成 佣金全退”“电话营销 扰一赔百”等18项安心服务承诺，与此同时北京链家也在全面推行店面服务升级和经纪人职业素养提升，坚持对客户好，对经纪人好，对社区好，持续推动行业进步，不断提供更有品质的服务。,http://company.zhaopin.com/CZ252944430.htm,0,"[{'state': 0, 'value': '同事很nice'}, {'state': 0, 'value': '工作环境好'}, {'state': 0, 'value': '氛围活跃'}, {'state': 0, 'value': '团队执行强'}, {'state': 0, 'value': '人际关系好'}]","房地产中介,电子商务",http://company.zhaopin.com/CZ252944430.htm
19,,https://storage-public.zhaopin.cn/org/logo/1631169151119635222/sf%20logo-01.jpg,,已上市,顺丰速运,CZ131486150,,0,货运/物流仓储,10000人以上,"顺丰是国内最大的综合物流服务商、全球第四大快递公司，致力于成为独立第三方行业解决方案的数据科技服务公司，以领先的技术赋能客户，为客户提供涵盖多行业、多场景、智能化、一体化的智慧供应链解决方案。同时,顺丰还是一家具有“天网+地网+信息网”网络规模优势的智能物流运营商，拥有对全网络强有力管控的经营模式。",http://company.zhaopin.com/CZ131486150.htm,1,"[{'state': 0, 'value': '工作环境好'}, {'state': 0, 'value': '同事很nice'}, {'state': 0, 'value': '团队执行强'}, {'state': 0, 'value': '氛围活跃'}, {'state': 0, 'value': '人际关系好'}, {'state': 0, 'value': '管理人性化'}, {'state': 0, 'value': '实力大公司'}, {'state': 0, 'value': '交通便利'}]",货运/物流仓储,http://company.zhaopin.com/CZ131486150.htm
